ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total,source_file
26/01/2023,Adult,St. Luke's General Hospital Kilkenny,530,217,69,41,857,OpenData_IPDCNational01_2023.csv
26/01/2023,Adult,St. Michael's Hospital,"1,007",222,29,8,"1,266",OpenData_IPDCNational01_2023.csv
26/01/2023,Adult,St. Vincent's University Hospital,"2,563",621,204,418,"3,807",OpenData_IPDCNational01_2023.csv
26/01/2023,Adult,Tallaght University Hospital,"2,033",365,120,135,"2,654",OpenData_IPDCNational01_2023.csv
26/01/2023,Adult,Tipperary University Hospital,259,38,4,0,301,OpenData_IPDCNational01_2023.csv
26/01/2023,Adult,University Hospital Kerry,252,52,2,0,306,OpenData_IPDCNational01_2023.csv
26/01/2023,Adult,University Hospital Limerick,"1,801",757,23,2,"2,584",OpenData_IPDCNational01_2023.csv
26/01/2023,Adult,University Hospital Waterford,"3,148","1,059",447,893,"5,548",OpenData_IPDCNational01_2023.csv
26/01/2023,Adult,Wexford General Hospital,521,202,134,36,893,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Beaumont Hospital,29,6,2,0,36,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Children's Health Ireland,"3,131","1,495",732,880,"6,238",OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Cork University Hospital,95,25,9,16,145,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Ennis Hospital,28,0,0,0,28,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Galway University Hospitals,227,96,44,72,439,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Letterkenny University Hospital,39,22,13,15,88,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Mercy University Hospital,60,10,5,0,75,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Midland Regional Hospital Mullingar,30,14,0,0,44,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Midland Regional Hospital Tullamore,124,44,2,0,170,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,National Orthopaedic Hospital Cappagh,135,109,15,15,274,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Nenagh Hospital,27,2,0,0,29,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Our Lady of Lourdes Hospital Drogheda,49,8,2,0,59,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Portiuncula University Hospital,38,8,2,0,47,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Royal Victoria Eye and Ear Hospital,91,17,2,2,112,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Sligo University Hospital,199,41,8,13,259,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,Small Volume Hospitals,50,13,2,2,67,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,South Infirmary Victoria University Hospital,144,30,4,2,180,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,University Hospital Kerry,28,6,0,0,33,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,University Hospital Limerick,210,33,2,0,244,OpenData_IPDCNational01_2023.csv
26/01/2023,Child,University Hospital Waterford,119,37,17,8,181,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Bantry General Hospital,50,45,26,7,128,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Beaumont Hospital,"3,981","1,635",383,86,"6,086",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Cavan General Hospital,373,7,0,0,380,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Connolly Hospital Blanchardstown,915,144,11,0,"1,070",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Coombe Women and Infants University Hospital,137,30,6,0,173,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Cork University Hospital,774,273,174,254,"1,475",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Cork University Maternity Hospital,398,83,19,22,522,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Croom Orthopaedic Hospital,306,0,0,0,306,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Ennis Hospital,311,50,0,0,361,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Galway University Hospitals,"4,557","2,451",855,"1,931","9,794",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Kilcreene Regional Orthopaedic Hospital,531,45,2,0,578,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Letterkenny University Hospital,"1,423",409,193,355,"2,381",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Louth County Hospital,370,10,0,0,380,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Mallow General Hospital,234,25,8,2,270,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Mater Misericordiae University Hospital,"3,542",898,496,971,"5,907",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Mayo University Hospital,531,122,57,77,788,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Mercy University Hospital,522,164,67,49,803,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Midland Regional Hospital Mullingar,451,163,85,35,735,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Midland Regional Hospital Portlaoise,149,92,20,9,271,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Midland Regional Hospital Tullamore,959,422,50,64,"1,495",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Naas General Hospital,137,57,2,2,198,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,National Orthopaedic Hospital Cappagh,"1,421",328,58,26,"1,833",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Nenagh Hospital,623,12,0,0,635,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Our Lady of Lourdes Hospital Drogheda,512,148,2,0,662,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Our Lady's Hospital Navan,735,67,6,4,813,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Portiuncula University Hospital,447,126,53,2,629,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Roscommon University Hospital,432,171,73,60,736,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Royal Victoria Eye and Ear Hospital,"1,863",685,88,40,"2,676",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Sligo University Hospital,"1,843",792,297,332,"3,264",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,South Infirmary Victoria University Hospital,"2,320",814,297,274,"3,706",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,St. Columcille's Hospital,458,124,28,50,661,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,St. James's Hospital,"3,297","1,214",560,"1,085","6,157",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,St. John's Hospital Limerick,676,110,2,0,789,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,St. Luke's General Hospital Kilkenny,508,213,56,23,800,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,St. Michael's Hospital,868,194,30,19,"1,112",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,St. Vincent's University Hospital,"2,568",625,239,437,"3,870",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Tallaght University Hospital,"1,943",346,140,126,"2,555",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Tipperary University Hospital,249,26,2,0,277,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,University Hospital Kerry,257,50,2,0,310,OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,University Hospital Limerick,"1,623",686,64,8,"2,381",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,University Hospital Waterford,"3,405","1,039",512,904,"5,861",OpenData_IPDCNational01_2023.csv
23/02/2023,Adult,Wexford General Hospital,521,186,125,52,884,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Beaumont Hospital,29,11,4,0,44,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Children's Health Ireland,"3,314","1,476",792,881,"6,463",OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Cork University Hospital,101,24,14,17,157,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Ennis Hospital,26,2,0,0,28,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Galway University Hospitals,248,84,37,75,445,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Letterkenny University Hospital,38,20,12,14,85,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Mercy University Hospital,55,6,7,0,68,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Midland Regional Hospital Mullingar,17,12,2,0,31,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Midland Regional Hospital Tullamore,133,52,0,0,185,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,National Orthopaedic Hospital Cappagh,129,100,19,15,263,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Our Lady of Lourdes Hospital Drogheda,39,8,0,0,47,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Portiuncula University Hospital,39,8,2,0,49,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Royal Victoria Eye and Ear Hospital,83,11,4,2,100,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Sligo University Hospital,189,39,8,8,245,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,Small Volume Hospitals,58,15,2,2,77,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,South Infirmary Victoria University Hospital,166,27,6,2,202,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,University Hospital Kerry,21,8,0,0,29,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,University Hospital Limerick,246,46,4,2,299,OpenData_IPDCNational01_2023.csv
23/02/2023,Child,University Hospital Waterford,133,35,14,8,191,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Bantry General Hospital,78,35,24,9,146,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Beaumont Hospital,"4,144","1,794",534,127,"6,599",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Cavan General Hospital,408,11,0,0,419,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Connolly Hospital Blanchardstown,926,171,8,0,"1,105",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Coombe Women and Infants University Hospital,111,14,6,2,133,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Cork University Hospital,773,295,160,266,"1,494",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Cork University Maternity Hospital,398,99,23,11,531,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Croom Orthopaedic Hospital,300,2,0,0,302,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Ennis Hospital,325,28,0,0,353,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Galway University Hospitals,"4,680","2,416",936,"1,998","10,030",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Kilcreene Regional Orthopaedic Hospital,558,46,0,0,604,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Letterkenny University Hospital,"1,326",373,169,363,"2,231",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Louth County Hospital,396,8,0,0,404,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Mallow General Hospital,222,21,6,0,249,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Mater Misericordiae University Hospital,"3,488",941,475,976,"5,879",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Mayo University Hospital,511,129,51,99,790,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Mercy University Hospital,558,152,74,48,832,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Midland Regional Hospital Mullingar,549,156,98,29,832,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Midland Regional Hospital Portlaoise,153,83,26,18,280,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Midland Regional Hospital Tullamore,781,350,84,49,"1,264",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Naas General Hospital,119,69,8,2,198,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,National Orthopaedic Hospital Cappagh,"1,424",303,50,21,"1,798",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Nenagh Hospital,639,21,0,0,660,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Our Lady of Lourdes Hospital Drogheda,472,129,4,0,605,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Our Lady's Hospital Navan,750,67,6,2,825,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Portiuncula University Hospital,445,106,29,0,580,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Roscommon University Hospital,446,157,54,47,704,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Royal Victoria Eye and Ear Hospital,"1,913",832,101,15,"2,861",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Sligo University Hospital,"1,866",801,304,303,"3,274",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,South Infirmary Victoria University Hospital,"2,426",820,355,234,"3,835",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,St. Columcille's Hospital,441,139,22,35,637,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,St. James's Hospital,"3,327","1,243",604,"1,072","6,246",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,St. John's Hospital Limerick,639,123,8,0,770,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,St. Luke's General Hospital Kilkenny,547,221,71,25,864,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,St. Michael's Hospital,749,221,32,17,"1,019",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,St. Vincent's University Hospital,"2,751",675,235,454,"4,115",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Tallaght University Hospital,"1,938",353,140,124,"2,555",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Tipperary University Hospital,225,49,0,0,274,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,University Hospital Kerry,220,52,6,0,278,OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,University Hospital Limerick,"1,641",752,66,2,"2,461",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,University Hospital Waterford,"3,560","1,058",555,926,"6,099",OpenData_IPDCNational01_2023.csv
30/03/2023,Adult,Wexford General Hospital,504,217,137,21,879,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Beaumont Hospital,17,4,4,0,25,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Children's Health Ireland,"3,275","1,557",738,895,"6,465",OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Cork University Hospital,116,42,14,20,193,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Galway University Hospitals,215,82,32,73,402,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Letterkenny University Hospital,39,13,6,11,70,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Mercy University Hospital,61,9,2,0,73,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Midland Regional Hospital Mullingar,17,8,0,0,25,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Midland Regional Hospital Tullamore,110,43,0,0,153,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,National Orthopaedic Hospital Cappagh,118,90,26,13,247,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Nenagh Hospital,21,0,0,0,21,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Our Lady of Lourdes Hospital Drogheda,53,10,0,0,64,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Portiuncula University Hospital,24,6,4,0,35,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Royal Victoria Eye and Ear Hospital,77,15,4,2,99,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Sligo University Hospital,169,46,10,8,234,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,Small Volume Hospitals,67,8,4,2,81,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,South Infirmary Victoria University Hospital,178,39,6,2,225,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,University Hospital Kerry,9,12,0,0,21,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,University Hospital Limerick,355,45,4,2,406,OpenData_IPDCNational01_2023.csv
30/03/2023,Child,University Hospital Waterford,154,36,14,6,211,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Bantry General Hospital,68,36,18,13,135,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Beaumont Hospital,"3,982","1,909",618,136,"6,645",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Cavan General Hospital,328,2,0,2,332,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Connolly Hospital Blanchardstown,956,205,6,0,"1,167",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Coombe Women and Infants University Hospital,90,21,2,4,117,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Cork University Hospital,740,272,177,253,"1,442",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Cork University Maternity Hospital,421,106,21,15,563,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Croom Orthopaedic Hospital,274,0,0,0,274,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Ennis Hospital,343,25,0,0,368,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Galway University Hospitals,"4,328","2,476",857,"2,013","9,673",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Kilcreene Regional Orthopaedic Hospital,561,44,4,0,609,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Letterkenny University Hospital,"1,364",391,159,368,"2,283",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Louth County Hospital,433,0,0,0,433,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Mallow General Hospital,245,28,6,0,280,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Mater Misericordiae University Hospital,"3,264",930,471,"1,008","5,674",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Mayo University Hospital,514,139,50,95,798,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Mercy University Hospital,543,160,80,45,828,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Midland Regional Hospital Mullingar,661,148,75,29,914,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Midland Regional Hospital Portlaoise,146,70,30,22,269,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Midland Regional Hospital Tullamore,736,288,82,34,"1,140",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Naas General Hospital,139,45,0,0,184,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,National Orthopaedic Hospital Cappagh,"1,422",280,21,28,"1,751",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Nenagh Hospital,553,9,0,0,562,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Our Lady of Lourdes Hospital Drogheda,499,125,4,0,629,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Our Lady's Hospital Navan,652,104,8,2,767,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Portiuncula University Hospital,409,114,28,0,551,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Roscommon University Hospital,509,153,48,48,758,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Royal Victoria Eye and Ear Hospital,"1,982",848,111,17,"2,958",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Sligo University Hospital,"1,630",805,279,271,"2,986",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,South Infirmary Victoria University Hospital,"2,456",821,350,234,"3,860",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,St. Columcille's Hospital,483,146,41,27,698,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,St. James's Hospital,"3,396","1,345",601,"1,114","6,457",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,St. John's Hospital Limerick,631,126,4,0,761,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,St. Luke's General Hospital Kilkenny,545,243,78,28,894,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,St. Michael's Hospital,636,230,26,14,906,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,St. Vincent's University Hospital,"2,745",707,236,458,"4,146",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Tallaght University Hospital,"1,906",358,133,131,"2,528",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Tipperary University Hospital,244,47,0,0,291,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,University Hospital Kerry,213,39,0,0,252,OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,University Hospital Limerick,"1,656",803,93,2,"2,554",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,University Hospital Waterford,"3,593","1,094",543,957,"6,186",OpenData_IPDCNational01_2023.csv
27/04/2023,Adult,Wexford General Hospital,447,224,125,39,836,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Children's Health Ireland,"3,303","1,675",710,924,"6,612",OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Cork University Hospital,126,42,12,21,201,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Ennis Hospital,26,0,0,0,26,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Galway University Hospitals,212,91,36,76,416,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Letterkenny University Hospital,41,19,8,11,79,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Mercy University Hospital,62,9,2,0,73,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Midland Regional Hospital Mullingar,22,6,0,0,28,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Midland Regional Hospital Tullamore,90,50,0,0,140,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,National Orthopaedic Hospital Cappagh,132,71,34,16,253,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Our Lady of Lourdes Hospital Drogheda,67,15,0,0,82,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Portiuncula University Hospital,27,4,4,0,35,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Royal Victoria Eye and Ear Hospital,96,18,4,2,120,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Sligo University Hospital,170,56,10,8,245,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,Small Volume Hospitals,66,10,10,2,89,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,South Infirmary Victoria University Hospital,196,27,6,2,232,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,University Hospital Kerry,14,9,0,0,23,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,University Hospital Limerick,370,62,4,0,436,OpenData_IPDCNational01_2023.csv
27/04/2023,Child,University Hospital Waterford,175,41,17,6,240,OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Bantry General Hospital,87,33,21,15,156,OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Beaumont Hospital,"4,044","1,780",667,124,"6,616",OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Cavan General Hospital,272,4,0,2,278,OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Connolly Hospital Blanchardstown,935,146,18,0,"1,100",OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Coombe Women and Infants University Hospital,70,32,2,0,104,OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Cork University Hospital,702,283,178,256,"1,419",OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Cork University Maternity Hospital,457,107,28,18,610,OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Croom Orthopaedic Hospital,244,0,0,0,244,OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Ennis Hospital,308,37,0,0,345,OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Galway University Hospitals,"4,442","2,405",944,"2,053","9,844",OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Kilcreene Regional Orthopaedic Hospital,546,58,4,0,608,OpenData_IPDCNational01_2023.csv
25/05/2023,Adult,Letterkenny University Hospital,"1,193",381,140,328,"2,042",OpenData_IPDCNational01_2023.csv
